cycle,algorithm,onu_id,offered_bytes,served_bytes,backlog_bytes
105,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,584,11100,32926
105,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,549,600,8792
106,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,598,11100,50738
106,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,581,11100,22505
106,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,617,600,8846
107,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,595,11100,40323
107,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,578,11100,12062
107,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,616,600,8916
108,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,579,11100,29887
108,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30584,11100,31603
108,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,30636,11100,28522
109,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12625,11100,31476
109,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12630,11100,33174
109,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,593,11100,18121
