cycle,algorithm,onu_id,grant_bytes,start_ns,end_ns
84,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2116627,2118107
85,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2118107,2119587
85,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2125162,2126642
85,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2134559,2136039
86,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2136039,2137519
86,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30600,2143095,2168575
86,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2176591,2178071
87,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,400,2178071,2179391
87,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2185098,2186578
87,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,2194709,2205789
88,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,30600,2205789,2231269
88,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,2237081,2248161
88,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30600,2256404,2281884
89,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2281884,2283364
89,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2289240,2290720
89,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2299072,2300552
90,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,2300552,2311632
90,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30600,2317552,2343032
90,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,2351463,2362543
91,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,2362543,2373623
91,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2379619,2381099
91,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2389587,2391067
92,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2391067,2392547
92,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2398606,2400086
92,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2408641,2410121
93,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2410121,2411601
93,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2417744,2419224
93,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2427856,2429336
94,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2429336,2430816
94,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2437052,2438532
94,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,2447247,2458327
95,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2458327,2459807
95,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30600,2466151,2491631
95,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2500415,2501895
96,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2501895,2503375
96,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2509823,2511303
96,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2520147,2521627
97,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2521627,2523107
97,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,2529659,2540739
97,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,2549672,2560752
98,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,2560752,2571832
98,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2578519,2579999
98,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,2589022,2600102
99,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2600102,2601582
99,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2608407,2609887
99,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2618984,2620464
100,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12800,2620464,2631704
100,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,2638529,2649609
100,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2658749,2660229
101,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2660229,2661709
101,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2668543,2670023
101,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2679227,2680707
102,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2680707,2682187
102,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2689063,2690543
102,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,2699820,2710900
103,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2710900,2712380
103,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2719313,2720793
103,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2730164,2731644
104,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2731644,2733124
104,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,42600,2740128,2775208
104,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30600,2784670,2810150
105,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2810150,2811630
105,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2818663,2820143
105,gated,65298be0-01e9-4bf4-9842-ae24b342999c,42600,2829683,2864763
106,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2864763,2866243
106,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2873319,2874799
106,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2884403,2885883
107,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2885883,2887363
107,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2894495,2895975
107,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2905624,2907104
108,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,30600,2907104,2932584
108,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30600,2939801,2965281
