cycle,algorithm,onu_id,offered_bytes,served_bytes,backlog_bytes
56,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12612,12600,4730
57,gated,65298be0-01e9-4bf4-9842-ae24b342999c,624,600,5693
57,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,596,600,7264
57,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,42612,42600,4800
58,gated,65298be0-01e9-4bf4-9842-ae24b342999c,581,600,5710
58,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,615,600,7434
58,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,578,600,4848
59,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30585,30600,5712
59,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,615,600,7619
59,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12597,12600,4893
60,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30556,30400,5870
60,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,636,800,7640
60,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,564,600,4902
61,gated,65298be0-01e9-4bf4-9842-ae24b342999c,534,600,5962
61,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,607,600,7668
61,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,615,600,4926
62,gated,65298be0-01e9-4bf4-9842-ae24b342999c,598,600,6052
62,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,655,600,7751
62,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12620,12600,4970
63,gated,65298be0-01e9-4bf4-9842-ae24b342999c,589,600,6131
63,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,615,600,7849
63,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,644,600,5058
64,gated,65298be0-01e9-4bf4-9842-ae24b342999c,605,600,6215
64,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,589,600,7936
64,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,534,600,5080
65,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30596,30600,6295
65,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,620,600,8043
65,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,601,600,5103
66,gated,65298be0-01e9-4bf4-9842-ae24b342999c,586,600,6361
66,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,663,600,8213
66,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,632,600,5158
67,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12602,12600,6429
67,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,572,600,8355
67,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,30616,30600,5229
68,gated,65298be0-01e9-4bf4-9842-ae24b342999c,576,600,6473
68,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,612,600,8509
68,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,559,600,5259
69,gated,65298be0-01e9-4bf4-9842-ae24b342999c,580,600,6497
69,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,590,600,8653
69,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12630,12600,5319
70,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12645,12600,6566
70,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,594,600,8791
70,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12616,12600,5395
71,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12583,12600,6618
71,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,587,600,8916
71,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,624,600,5495
72,gated,65298be0-01e9-4bf4-9842-ae24b342999c,591,600,6661
72,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,583,600,9024
72,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,635,600,5630
73,gated,65298be0-01e9-4bf4-9842-ae24b342999c,602,600,6706
73,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12592,12600,9124
73,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,597,600,5762
74,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30574,30600,6725
74,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30586,30600,9210
74,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,643,600,5937
75,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12573,12400,6917
75,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,595,600,9291
