cycle,algorithm,onu_id,cls,size_bytes,arrival_ns,start_ns,end_ns,queue_delay_ns
107,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,2467223,2467543,2467703,320
107,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,2467223,2475835,2475995,8612
107,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,2467223,2475995,2476155,8772
107,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,2467223,2476155,2476315,8932
107,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2476315,2477515,96085
107,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2477515,2478715,97285
107,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2478715,2479915,98485
107,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2479915,2481115,99685
107,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2481115,2482315,100885
107,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2482315,2483515,102085
107,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2483515,2484715,103285
107,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,2467223,2486435,2486595,19212
107,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,2467223,2486595,2486755,19372
107,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,2467223,2486755,2486915,19532
107,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2486915,2488115,106685
107,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2488115,2489315,107885
107,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2489315,2490515,109085
107,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2490515,2491715,110285
107,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2491715,2492915,111485
